I|1500311|251|AAAAAAAAAAAAAPX|2017-07-08 00:00:34|ACTV
I|1500312|4935|AAAAAAAAAAAADDK|2017-07-08 00:00:47|ACTV
I|1500313|155|AAAAAAAAAAAADMQ|2017-07-08 00:00:57|ACTV
I|1500314|8|AAAAAAAAAAAAAEG|2017-07-08 00:01:30|CNCL
I|1500315|361|AAAAAAAAAAAAAPF|2017-07-08 00:01:31|CNCL
I|1500316|5328|AAAAAAAAAAAADYZ|2017-07-08 00:01:36|ACTV
I|1500317|2340|AAAAAAAAAAAACYG|2017-07-08 00:01:43|ACTV
I|1500318|70|AAAAAAAAAAAABKX|2017-07-08 00:01:55|ACTV
I|1500319|4049|AAAAAAAAAAAADEY|2017-07-08 00:02:06|ACTV
I|1500320|7404|AAAAAAAAAAAAAFN|2017-07-08 00:02:39|ACTV
I|1500321|5770|AAAAAAAAAAAACDR|2017-07-08 00:03:04|ACTV
I|1500322|6418|AAAAAAAAAAAACZR|2017-07-08 00:03:05|ACTV
I|1500323|3420|AAAAAAAAAAAAAZF|2017-07-08 00:03:41|ACTV
I|1500324|57|AAAAAAAAAAAAAYZ|2017-07-08 00:03:48|CNCL
I|1500325|2491|AAAAAAAAAAAABJM|2017-07-08 00:04:23|CNCL
I|1500326|6982|AAAAAAAAAAAABYF|2017-07-08 00:05:02|ACTV
I|1500327|4440|AAAAAAAAAAAABFU|2017-07-08 00:05:34|ACTV
I|1500328|3057|AAAAAAAAAAAADGU|2017-07-08 00:06:15|ACTV
I|1500329|1438|AAAAAAAAAAAABUM|2017-07-08 00:06:40|ACTV
I|1500330|7713|AAAAAAAAAAAACOC|2017-07-08 00:06:44|ACTV
I|1500331|5224|AAAAAAAAAAAAEOB|2017-07-08 00:06:57|ACTV
I|1500332|2890|AAAAAAAAAAAADQH|2017-07-08 00:07:15|ACTV
I|1500333|3514|AAAAAAAAAAAABFD|2017-07-08 00:07:53|ACTV
I|1500334|1736|AAAAAAAAAAAAAQS|2017-07-08 00:08:26|CNCL
I|1500335|945|AAAAAAAAAAAAABT|2017-07-08 00:08:32|CNCL
I|1500336|2000|AAAAAAAAAAAABQS|2017-07-08 00:09:07|ACTV
I|1500337|7153|AAAAAAAAAAAAEHH|2017-07-08 00:09:44|ACTV
I|1500338|3826|AAAAAAAAAAAADCV|2017-07-08 00:10:04|ACTV
I|1500339|5028|AAAAAAAAAAAAAGA|2017-07-08 00:10:22|ACTV
I|1500340|5401|AAAAAAAAAAAABZE|2017-07-08 00:10:45|ACTV
I|1500341|739|AAAAAAAAAAAACWH|2017-07-08 00:10:51|ACTV
I|1500342|3008|AAAAAAAAAAAACOP|2017-07-08 00:11:10|ACTV
I|1500343|7610|AAAAAAAAAAAACLR|2017-07-08 00:11:20|ACTV
I|1500344|3440|AAAAAAAAAAAAARQ|2017-07-08 00:11:52|CNCL
I|1500345|9|AAAAAAAAAAAAAMP|2017-07-08 00:12:18|CNCL
I|1500346|5980|AAAAAAAAAAAABUL|2017-07-08 00:12:33|ACTV
I|1500347|2475|AAAAAAAAAAAAARA|2017-07-08 00:13:11|ACTV
I|1500348|657|AAAAAAAAAAAAAUZ|2017-07-08 00:13:29|ACTV
