19831228-203626,CMP,mqXmkgPPhQUGVluJIDZDxHwwoISSW,0000000217,ACTV,EI,B+,1900-10-13,10566 Sienna East,,93302,Moreno Valley,IN,Canada,Ward,lLRUbDUvAzGcDJdFRBUG hZBERMnOeAxajtg wNRGnmvsLRVSXTfKVprmKKrXDmQsMSq pQRI
19831229-054955,CMP,DOibaSyrEWCFevV,0000000739,ACTV,RP,AA,1890-09-23,18794 Hunter Drive,,78505,Hayward,Alberta,United States of America,Woodyard,qfgbFqomdyylDdLDPcQIJnvybHKCXIqNUo lObHkwUwrGmMoJgJMcAMJECQfFExHXNVxNNhjPzZAGKNHtljoNftVCZblUonMMmAMXUUxcPdSPRiUVGsAJ
19831229-134016,CMP,pEWqPmfwuVRLJHaDVZPLKbjpimOd,0000000744,ACTV,OO,BBB,1908-05-06,20124 River Place Drive,,T5C 1Q7,Billings,WA,United States of America,Lord,QHGoXNURpEWxcPqmgPFRTbCLi
19831229-163346,CMP,EkGAsTrCvvwPKoZSeIwbytypNUQCFaEYUYmEoiDXjllVmNYpzr,0000000737,ACTV,MC,CC,1924-02-25,6802 Ames Street,,99570,Stockton,OR,United States of America,Evans,qYGUfArAYYcUyfZVGNKlKnaeWhHy
19831229-181305,CMP,VepDAmucwcBMPxMBQi,0000000742,ACTV,IL,A-,1920-05-24,18591 Chapin Road,,V6E 1P5,Santa Ana,VT,United States of America,Marett,sGmTsMwyLwLYWVMpdTUUdTTfRBSHwIbGzTNQsqTSgQkPPSkZmyOrNQNydPqHkWBIujrOPcICyNYcXUPOhbUTuyFiAUYtMEtGGRrVbrukzLcDiMpSuDXpywNYDxJQxwFCFRqikzyuJoCCCG
19831230-001839,CMP,MMYHEsAdHQrXvDXqWNGKyGRnmNQy,0000000158,INAC,MT,A,1905-08-10,10638 Quentin Park,,74136,Fayetteville,AR,United States of America,Lawrence,ludwfBWOBFnWMpFCePPMCiSO
19831230-004204,CMP,WYMXbLQJGPUjOOGUxSQWUxTHfWAXgvQAvDcMAEIjMjHCNBAAzLkQ,0000000740,ACTV,AM,CCC-,1864-11-15,8789 Throckmorton Boulevard,,93909,Saint John,DE,United States of America,Mcalevy,BdOtRFmIyzLDPOHBIsPZxKNqzoUSKxN aUHSPwgzSPQaJVI
19831230-105143,CMP,KxxeTfHUqkOupopyJwqjZ,0000000745,ACTV,CF,WWZK,1909-08-03,17362 Coffey Upper,,91176,Fontana,FL,Canada,Behunin,qEfDqSXVkgJx GZfRUUEoXVEUBfnAgXfTsMKTWMQNHeLaSBgVcRKOYjJZcEkFFXFIZJUcEMPG zPKyxBkflITkkTJsHJztmFSrfHqairDDINAQoTPnVRIHFJkCWitlyLaqHGpS
19831230-210433,CMP,FzExXAgDYDJWHXBzPRjXoPxgKlaRKHRXVStNMSsKEgCsIJwInBnVbYCdI,0000000738,ACTV,ST,BB-,1899-11-06,1899 Malden Way,,85216,Idaho Falls,CT,Canada,Ribas,qCNbqeNZjeW
19831231-061622,CMP,eDoZzEQbmVPqThVqEYyxdVtutXBJPQuTedGCiCAwoRqRYbtOrIpUnExqrAt,0000000743,ACTV,TN,A-,1958-02-04,7787 Ledgestone Court,,47704,Naperville,NC,United States of America,Offord,xJeURImSUSuGdBnvHMLtIqLIDrBuBDzORbBdgBnAH
19831231-103613,CMP,gDUXGfTXcEEvqhuHhxpsUeXdBVH,0000000736,ACTV,CT,BB,1892-11-05,7329 Roosevelt Upper,,X1G 1T6,Sudbury,KY,Canada,Suder,zZaheLLuAgKKyI
19831231-161630,CMP,DAfhdqUoHBIkaKUTNDGrkBRJJhATGuMOiVFmQZxUGDMXCcoTTYVPvePuGFX,0000000741,ACTV,HM,C,1947-06-20,9038 Westheimer South,,Y1A 1G7,Escondido,NC,United States of America,Tobin,JNafEZPeaKsIHiVUVIPAeLIBkvPvruKEBFAYBpc XUrHJcCirgtrcIFPoHZ oTsOKArVzXQONAXUBVwBcTLRPRRGiMLwKANKtwstOMkcOVNLdxMeqnfqNHJLRcNOtcFi
