19740922-125728,CMP,sqfpzvcTSDkTDRCPSWYJeVZtTRcjNsMaE,0000000367,ACTV,OI,CCC+,1883-05-01,11146 Penmarc Street,,28229,Grand Prairie,CO,United States of America,Starwalt,FZTJeULxGZgAJWQuTejFWxWazN PAOqFMlJCFF ZloAoNicJoMVUMcnjQeIzpItWSjNxbJpgO rODxnmETBTfBebMCHEhnFb XVRVgCfIxwuiSpqcOhPeDxjBOGw
19740923-143620,CMP,GcOZWfgNzDuOjKAXcEZk,0000000366,ACTV,MT,AA+,1912-03-24,1750 Wishek Way,,76133,Lancaster,MD,United States of America,Witherow,zjDemDshKJQNsJGvUpXEd
19740923-211758,CMP,ipGPpjSzklAwtYTOkpejjCqMTFZmYMLKAaNNWQWFVSOOytWbSM,0000000310,INAC,MP,CC,1912-11-21,11469 Fairmount Boulevard,,90284,Las Cruces,NY,Canada,Suder,nObNUBWJUjgIWucOStExCzTvIgpjAFDtMROBXedVsNFrEQhSVFWLQREYBPFORqKvRBGcdADtSK
19740923-225412,CMP,gSPTnEYnBdFkIWPfTapBoPBM,0000000267,ACTV,MP,BB+,1918-05-23,6503 Robbins Street,,32258,Dawson City,SC,Canada,Sally,fLwgQqqKnGBQKJGCcJRrXUErd PQKTpedhKndQxWcUfCyvfICurZLMQHXmcKrbytNMFwRr
19740924-005948,CMP,MdcCChWJrnnJJXGaSMxGEMVNtLDSRgHEATX,0000000375,ACTV,IA,AA+,1959-08-01,19040 Shallowford Drive,,90289,Cedar Rapids,LA,United States of America,Mckerchie,ZeFCD aqO jUU TYlWGpJfJuwBOupHQUVRHQBxdWunGMzWLZiLYddmSxKRzFQGhDcGgRuTGJElISXEJeHFmMEgPWfSJrTSAQ efSfhEqdmyxUfUHjHRUpsbnMylTESWCHIHV
19740924-095431,CMP,EvWcyEWmFDdCdNatKREMDcLiuIegnQSdNXZRuHWrJslzqwbRuVVWJTEDR,0000000374,ACTV,CP,CC,1966-06-20,15451 Beningus Rue,,33340,Salem,RI,,Njoku,GYqC ODCUNSjpqWTJDdMxNBYeCFmvHVKXcdcVXIhbJjRJBjNdUnZAYUcAkxKnp  LHoLvifHgmAJFkBgEvTeKFDQSTBLMskyNHD
19740925-160055,CMP,vrgJXrrDqYMHGmKLJuguAOGzQyGAZjXZEgWvPnFNSMEEcERsNHAVTXi,0000000373,ACTV,IP,C,1854-02-08,19604 Roberts Park,,85085,Tacoma,WV,Canada,Minster,EGPpmW gplt XnZPmAaUHT MHEB
19740926-141755,CMP,mRkaSTdQLaAmtCbOhhWUDjaSpJDSMzunhtbLMIypoSnLFzQYmeCeUpuWd,0000000372,ACTV,RR,Fx,1945-10-26,6379 Shadowbriar Way,,T6B 1C5,Great Falls,HI,United States of America,Laughead,CtaWHJhTEV DDtdqcMVoUUPBjvsqNoGwIUtEuJVTretPYustWVhUgWMnhiKvZnqcTNeUTikPxluyK JnBOl onWmWAcpyQVDNKCc
19740927-075931,CMP,tMxRtlNQsLObcjH,0000000371,ACTV,BN,WU,1863-04-26,16508 Cleveland Upper,,M5D 1Z7,Garland,LA,United States of America,Kapaun,wQTtxOBbBcOWZMORENBNUY
19740929-003058,CMP,NDMTpVIrJWPCeyQCcEYjkKvXAtipQddjCx,0000000370,ACTV,FW,CCC-,1879-02-11,4141 Eagle North,,87504,Dover,OR,United States of America,Wyse,ibVDGtaXSScHkILHPRUqGCVGHBECNZB OfSIDhNOfHbRSlfYlJMFZXhTIyXVSHLWEKApUxLLaltVMqGTMMTkkxZhFmexMRUOQMjZSmNTUrZKzQN fUXALCofBiwdHBLKWYQcTEGDK
19740929-081254,CMP,pJIzRZJpGSTuQYQXaVodUJTsvkryXgSHUyImKup,0000000369,ACTV,GS,BB+,1889-12-25,10959 Throckmorton East,,V6Z 1W1,Boston,ME,United States of America,Derick,FpBJachahbbRYUyjXTLtKPfymSIafgbTybntpLocOFQHEVLQJPAWimhQFxoxzfJCJiaPAGlabQFPDFTawCTNjaJixeSHPZkY nLBZD
19740930-100041,CMP,SHuHLFwNwXBOULlQFbWKYVBrKPnFoRtjcMFSgqzBsfWO,0000000368,ACTV,CS,B-,1868-03-28,19454 Hilltop Crescent,,60815,Orlando,IL,United States of America,Roston,VZhBGRvcvTXfglaZRAUhWUiuOomjcICWTMUdygcRYrFGGKJmpo
