19840328-054720,CMP,GIYJvATsOIyquFHavCWbHZqUAUslRGHZ,0000000553,INAC,TI,SBWC,1856-11-23,14227 Flynn Park,,45257,Hollywood,PA,United States of America,Montemurro,ENXMosCzjWIkASTUDMwzzSUXNzJRGeETNFPDqEGsTMqbWPQPSdavXQYGhH BUQiBTAHnDXDP
19840328-135147,CMP,WWvZTdOGxRVsPGvzJEXxvrzndQxsqTVOYMOUUhlCkJBnNTDWUR,0000000746,ACTV,HM,B,1899-09-14,7993 Selma Street,,90859,Tucson,ND,United States of America,Barella,QNDG  urYIMvBRRoRBKBCQSsEVsAbnrSEgTbubdbCakeVHveVmqNdFTwrdulDGOLTIdzYiiBsdAJVLVKPIhKrKrNZnThqhpwqEqCiQrqEhJFPvYf
19840328-184038,CMP,dRDpetnXabbrYOLfPDipuURCEUOWQgZYGStklF,0000000747,ACTV,RA,BB+,1941-03-15,11120 Graves East,,35246,Denver,TN,United States of America,Coverton,EVTPkaRurJQKJkXH rHgEgPiFTcJcp ZkxyDOIOWgUJEGYERIVWrMndFcOijCrIsBNFvNSEzGyrCASqgnRAhElUVIulVpGDpXoiWdNwNhDEfvzCTojVgvrBoEKSWFVNtHAnXNkIDPOUBKAexxLj
19840329-002949,CMP,ILLVBxEJbtIDrNMAHcHiQNvqlVkWmRiiUBtSWUirHmkK,0000000748,ACTV,CH,AA+,1977-11-29,23374 Lyons Park,,V6Y 1S1,Montreal,HI,United States of America,Koskie,KzDhYPIiRjTdMBMAl xNKWwtpfgEdavnCZoXcVfSNvaaQAxE
19840329-024521,CMP,KdNeCejnQGXFuVhudGxbSbcxtM,0000000749,ACTV,OI,CCC,1958-05-05,23684 Decatur Street,,80083,Fairbanks,AL,United States of America,Citino,MEbAMjNDzjGmZtNPSCTQIKffycoBNxHKccLrKEEGNpTteP GDmOgPIRCDwRwCxOZbOPEOkmeceLJSnyRDDNlPDQJaaTzxeFIRnTXJFAuueO
19840330-015854,CMP,OWSfDafTFUdNCzVuQKXSUfFFrjKTpluReLVLPsAypNESRki,0000000750,ACTV,PS,BB+,1942-12-26,3329 Simpson East,,19128,Sunnyvale,AR,United States of America,Falsetti,ibnmoHrLNjzlMMNJE JPCOReStfHFEKAUnOZDdeUJ
19840330-060543,CMP,tiZDGYKJNUomWKPSfGnpEqYLFvpASr,0000000751,ACTV,IM,BB,1888-12-16,2993 Garden Brook East,,76716,West Covina,ME,United States of America,Shelden,kmXQiPHrgBASAKsFJMKnNPQluSMoNTxIuMPhtM
19840330-072814,CMP,MvGduEMRMJizDMWSFfbDGnASWfUHCIZYAgCOpMdwKrVPVjdfDuhNJg,0000000752,ACTV,MC,qsxF,1921-08-31,23667 Parkwood Way,,89148,Oshawa,HI,United States of America,Odegard,JUpSMlWnVvNkiQVSUFcGMQtRLOuVBHOLPJNqIyORqaLmTKsVXKBVRR JFbTZJSGFZWqJbeXoTEcwBYIGbK cnGRGQuwceLVWLDk
19840330-143602,CMP,GvHVFDpMSppSSJvdWeELyPKLOABrEFWqku,0000000753,ACTV,HF,A+,1910-01-28,2590 Crestmere Park,,V6N 1R9,Tampa,IL,Canada,Whish,fBMSDFmAQfLUuzbVPApMhfHsklBeUn BjmhwPDiLUcGordMKnvrHoRVkERYBvQLpjc FeOMooVQdQQLTQiRDcYnoYoGXHtcqBapmTPHBRCuXIVV
19840330-184334,CMP,DGuOUcQrCVSseWAdmNbMZoGMOonpERwPZ,0000000754,ACTV,CH,BBB,1892-11-28,13766 Holly Crescent,,78701,Spokane,DE,United States of America,Reiling,vKTNhSNSMheStmuARaYuSmtVzxCbNJUOhtKKoRDCNKKKh EwRmXAYIf kz GPFmcrdqkrNnBFFFMFVmDnbJLBHzYOOVsFfnAztcIQkjH
19840330-233411,CMP,NyIqwpIvyrbVQqlaFhTKxetR,0000000755,ACTV,CX,CC,1951-04-26,2700 Westpark Street,,M8C 1W1,London,MN,United States of America,Delore,kKtHdjDQpFZHgSfJBhPUVgePzaMURCHzIfUyaChOe
19840331-130924,CMP,OhGyMTcWMJdQpJQZIiaxBfCuXgKBUhaQsuoACPYaXpbjkXNDZMmSDD,0000000226,ACTV,MD,A+,1892-08-24,12470 Meadow Haven East,,48916,Atlanta,NM,United States of America,Maretti,UBgGBlBJF CgfGymhPvTjcHqquBVnPIzCU
