20050330-081710,CMP,KmyukeHsliadthjP,0000001592,ACTV,AV,AA,1933-03-11,6590 Yohan Upper,,32224,San Diego,MA,Canada,Ciciora,rkXGMKPSYjVUlkWafHbQTyNvexGqTJPIUiqyCqKjcP htSHBOaUHYbSWBDDKyUZzVFoSzAqybimragVZZFIAIgwjateYoydJpAWIQcXCfVQsT
20050330-112744,CMP,AOhAksPXFHBdfQIWSUyUYYyTOHSFWvQXKRjDbTfWzRfrzcJIowEXJx,0000001593,ACTV,RR,AA+,1967-07-23,24422 Bellflower Street,,79956,Columbus,Manitoba,Canada,Misasi,yrbTzfJDwMWtKmJIVvdnPjcIwgkIqHSdSQOtVfRwJLRpHEgsDmAcXAHgrDairbaBhwzNNOFcDMXgILFGVQeRNTfVLnQsCjeEmABItwwZl
20050330-165827,CMP,KLjqhfNoooaUlvWUcXsxBm,0000001594,ACTV,AE,AA-,1904-04-02,19374 Taubman Drive,,90353,Burlington,ND,United States of America,Ball,qctJaXvhyLeRwA
20050330-191859,CMP,yKfjZUrHLKsyBBMhPbdNRJuRZRvEFybnCNyAxqfjYSTjKGDoZTFBWiQAV,0000001595,ACTV,CX,C,1955-02-20,9720 Tide Mill East,,V6J 1R1,Coral Springs,CT,United States of America,Talmage,nXrxKffvkh sYZvtxmNx zd FQ LExHqQatIQycwThAZqHPmvTuKpvXOcPkVEdMaEQpbpRDLrnunGqwtUnEOLUxvUWsmISGMSqk
20050330-221818,CMP,nsUSMbYuOGhrdUDWlMOfj,0000000429,ACTV,PP,VpM,1868-11-27,1684 Weyland West,,90223,Kitchener,IN,United States of America,Tena,e xwSAaWRIBf
20050331-071225,CMP,CKqQGzXcNXMPWzzEAqHxSpCdCwJEirgSInSJOMkfzMBleWwhgbxmoVEVYU,0000000081,INAC,CN,A-,1879-07-25,10136 Meadowlark Drive,Apt. 416,V6Z 1S7,Lexington,SC,United States of America,Leopard,rhEWWgSFfBoRJIxKuAOuvUAzyXClSYuGwGBVESpEkbzZRrtRONaibRvLZmUnKYQCoePMw oJDhdEaSopqadEVRxVKRJHZkGcUNEIRPDpvIpDDnrDooEIZUKtnaTGMHjrgQhsHjrHGHxqxQycsGTEe
20050331-104131,CMP,PWpjGoTPgkKOKCzhcWENMumRdovaI,0000001586,ACTV,CV,H,1882-12-01,24801 Amherst Street,,21279,Salt Lake City,Manitoba,United States of America,Cascio,FpBYHCFpaTZDdDIHDRmkRAsDkTP EgPsBfPxUFtPnpRMvAxIqhcuKUMZVHtihCHNOAdYTCLpSQztAutGyHtuPPGrXlvUEdQZPJJJDPXjCYnVNKHeTGKkBgRaHD IXpbTQamOkYeFETPLRvww
20050331-123255,CMP,rbvnzDVHFekQWzgBGlJqKXqKD,0000001587,ACTV,RE,BBB-,1968-06-10,14133 Beauregard North,,M5D 1W5,Evansville,NH,United States of America,Falsetti,amzJCxLueLLbhxaiHSLUMcROYuEGhNJNpznySEuFryIIPHTgoCMzUPadJrm StAjBCVbOiWrCDvHaACUynrcCTtkLCDXqVBc yhroQHKJ UaknjBuOGRmlWWojLBhYDU
20050331-151530,CMP,MlZJTzGDPCFBNHrVfRPPfOvuVzNIlJW,0000001588,ACTV,TN,BB+,1945-01-20,15696 Chadbourne Lower,,87508,Warren,NC,United States of America,Bianchi,JOdMcdSepUWpInVttqfMKAGDPEUPgepbTkLXDXLJDTKQXOXvDlbDBxJCJhUQMz HucwOZshsHDOsXQAM
20050331-182654,CMP,tTgXHiWNOPUrPUCbbiFDtjpFMJJNQpOLZCWWYiST,0000001589,ACTV,PR,W,1936-01-18,2920 Floresta Street,,21210,Hialeah,PA,United States of America,Paskey,tIwZCS OMWRKEjhdWpYVzGhEzJqvIwnJsVnsmWBWWLercEMdCNcRKmqQrWQDlmjSmOmOuDudOqbVFKuBJbXRssQKZCAXVFKTsaONGXhWQoVZMpZCcr
20050331-200947,CMP,SMkQxWRrzGkliaQyE,0000001590,ACTV,CU,AA+,1931-10-15,4953 Williams Boulevard,,E7N 1N6,Simi Valley,MT,,Kardas,XfSHNDswGqCUAEgjQQExcpxWjGSAMVkPILmWQOIWTtrBtEbYISSl
20050331-235958,CMP,EqDHEASfBlAGQDifBgpHDeHfXEqwIiELGaLXLNjv,0000001591,ACTV,ME,BB-,1850-12-24,23571 Harley Park,Apt. 635,92124,Pittsburgh,LA,,Dreier,WUgqVWbeHcrHQUDdYEEcTsXOLPhEjPOceQIJ NfCtWGELTFSOeNxBunPz
