19700321-060204,CMP,QZoKTiXLKvPjulUWXMCUtVfATzbC,0000000192,ACTV,MC,BBB+,1859-10-30,15591 Camp Bowie Way,,92515,Moncton,MI,United States of America,Torris,JRNNVjjGNNMlAELNnhHIpnlxXbrouFKJzyTolFdMUCDnPzOvUZeviFXXZISNhzRcnZjEIfqCodymfdiDHTzQsBUfIRDIOCBRrQz KCvUMrdLOxjCTUX oNjOHNBbUPnVVLDH
19700321-075149,CMP,VJecwNGRKWWFBmyGzHnLJQDTAFYJSdZYFIIDBdQdB,0000000187,ACTV,FP,A-,1871-03-30,20929 Lee East,,36109,Biloxi,CA,United States of America,Kalmbach,qaHOTTT oOTtxBqmBybPpdmmOwBpVgwjgBmCIeVVmMG
19700322-044307,CMP,APFGGKwGWpknVSryuSjfSQJ,0000000194,ACTV,AM,CCC,1852-09-21,9863 Boll Boulevard,,85006,Gary,LA,United States of America,Marin,BlIEYbFzfxsnFpTHwvMDNJsmNPPVfTSlXRLFptsIqnmEzxGnNeDHeZkO
19700323-084358,CMP,JSKnyzjayIuyPFBDYKGYmQJJJALMQVJRXBsXrxUvvRsgSBaOEnDcQEgzHT,0000000189,ACTV,SM,k,1934-07-19,12235 Jay Street,,70806,Garden Grove,Alberta,United States of America,Nusser,GxlvdU DLZjfgGMWfiJggKjXOJvNVACwIOCWuSmVrJJRSXJLuQFfNLnItftSJOrkOrwXWvRWvKFjKlzKbKFNqC EFioIKAUEaDKUjtIfjjoT ueBnWEYYh
19700323-133520,CMP,JySpXSUPXXRQAhXZYVXuSJeBKDIpCmynRTiStS,0000000108,ACTV,FW,BBB+,1935-01-09,1427 Addax Lane,,27610,Knoxville,MN,United States of America,Cyphers,UmUUFfrCATdfRNwNQDyonZOvRUvtdPLDAHqzKtAsXVQKrPzUrSTYXJCYPNulemtuKbJTnIpOKnMEuGwYBuGSZcQpfIxNSneIwIjNgQihxxZGbkGGwLvGCMdKMqXWwBMNyqL
19700325-073015,CMP,xItpdiEnJJAMNVucbcMCrZOxGKVLQtYwdGnBtSGBDqMTsWQhoJxXwANLFnQo,0000000191,ACTV,SC,BB+,1888-01-15,24697 Florence West,,21282,Dawson City,New Brunswick,United States of America,Cillis,flMiSAMzQomHmlveIyVwOcEKDeyQghQOqeMrtCHJMvtmGlvdDVUglenIPSVEBPupGAffKL KdOLgmUKE
19700325-123118,CMP,NtOdvFBFUhCVdhuIepZmNOBReS,0000000186,ACTV,PP,AA,1926-08-31,21245 Weller Way,,92145,Jacksonville,MS,United States of America,Laconte,DMDtJxdnGJmtdwfVINfbYRUoHPNaSkXbFSqnzeUfsuLCMdlLPBQWtl ibbXsARJF
19700326-061450,CMP,yURWxInlVahogpZHAunTIhWpDHUoQwnugkGiHKWVDOnuTAuSApjDJaf,0000000193,ACTV,SP,AAA,1953-05-05,3556 Kerry Avenue,Apt. 76,93805,Bridgeport,PA,United States of America,Villiard,mTTOPFOEmtqjWuBHXUUiSYQBznLwzTBEHEHLvuEFOTkqkqTDgpboEgFp fVIWJVKWCEcEUUeHBV
19700329-002418,CMP,rflAKFDXHCAcNmwLNJTMIvxdoAJIIC,0000000188,ACTV,CV,CCC+,1863-09-07,20094 Manning Rue,,10088,West Covina,Ontario,United States of America,Truelove,IkvPTkBeBEOwnZIGEOCzUiSpBhHVQRdLhwzkqchANaTTZPzObttbUTDucyZvMRZVOxstWusstEwmPBg
19700329-151653,CMP,KmmVMAnFFPQmIEPRJFeYqLOdwxWQuDObsQcTKGNrrp,0000000195,ACTV,FP,BB,1896-09-16,5756 Hill Crescent,,93741,Fort Lauderdale,MT,United States of America,Burtt,KTBDJkLCrjaXSDWBNLClgANUlvIEbcdXOGHdclLmiNCfEVQGbhTxaFSqJnsTLQjOCPlHuXFOcoRMWjuckkMMJjsdqQGlBLIqXZvdOIZUUJlnrLOXZYRGbqqAZlNHdHPZaXLCmUCKZZVckJcRdD Lw
19700329-172830,CMP,LvBNKChTxNjVTKBVEpzZQwVGKgiVlzHlFUjQRZfm,0000000190,ACTV,CC,e,1914-10-01,23822 Marvin Crescent,,23502,Long Beach,MD,United States of America,Tanious,OtROqfFmRNSX
19700331-235958,CMP,PGaykMWIRXtIvCjWQotAVyIQMBtfCUlqpQvbAcJpMrOZRoSijDVbEagyXN,0000000109,INAC,DR,BB,1883-10-23,18043 Watts Street,,H2F 1Y8,Pittsburgh,WA,United States of America,Breske,NIBhhKEDOteAVoHKccjOrGdptViOy
