19690316-193808,CMP,ZQTjEUONCDrpaHYvA,0000000152,ACTV,MF,B-,,24674 Windchime Court,,92171,Bellevue,MD,United States of America,Wagenaar,RDKUpUNtBsdWOahtOJAugAxJHGxFzNVcdXIxKhIQQNLTKLBdHZoGZjfutYgMNnjnEwhQWPUkjDDaYLaDEDFLAYeJZOXUKIGMBS
19690317-150326,CMP,KoviRxUIRFITXCLew,0000000153,ACTV,RP,AAA,1947-10-03,18182 Woolridge Lower,,99504,Toledo,NJ,United States of America,Wickey,DaWlRgTEDhTipSlPXwwiamDhksLuSRFupcxVCrWjqiNXHCGkQfadzL
19690320-110333,CMP,eBZLwzfHUBLxsWSFpQmudmDjRXm,0000000154,ACTV,MG,BBB,1889-04-26,1701 Drexel Drive,,73107,Stockton,NC,United States of America,Mackellar,TSWdwTXbJCvyzxxeXFHcil CzSZVbmRLcHEuFLsfIRmZVvftbTbQNFNRStRXASeyTAzlMHLTHvlRAXIhpUcGLbu
19690323-200409,CMP,ONhcAQwlnmqCCWDoczkXiLhbZXsEJrEEXDUBOGQFbkIMJyvn,0000000155,ACTV,AR,BBB,1905-04-02,7377 Coventry East,,95109,Montpelier,AK,,Semidey,BL EFOTHrOTuQaQsaMpWNJeJLuIhAzLaKlayksQoHRoDWzEMTcRvGaeAKogXwwUFyWPNVH DJBncTSmbRhhyfeLIBEyqmVKvnHKVdJLIlQZqLNPjkQbL
19690324-000813,CMP,jnhGOQaSGPLzBRc,0000000057,ACTV,MS,D,1927-11-26,10253 Oak Grove Avenue,Apt. 478,44106,Peoria,Newfoundland,United States of America,Harcrow,MRRG G IwRAUaYuzXHeDGSiTxTLJmGOfSFIScCPJfG
19690324-224201,CMP,puyAoWNGJszRGLMksSbQO,0000000139,INAC,SC,BB-,1897-09-05,9647 5th Way,,64173,Sydney,UT,United States of America,Niglio,CyLmHPCMiXsAOTSe uAwZWlKUJINEHypmsMEBbFOMuqwSpM kXHMKDPKGORROboEBzlATybblDnlwCRKDDoO gALYuJDFTPFDFGwpROOHBgJirHHIGEHOoJaSQFUbiHYANMIOEK
19690325-223701,CMP,xNZnDTSoUVPNSoYdgBUPLqzOHFZzrIJQNLRxXgjb,0000000146,ACTV,FW,AA+,1915-10-12,11835 Allen Drive,,80140,Birmingham,AK,,Chadwick,pUmnMJKUihqnAN
19690327-082550,CMP,iNHnTftjXfvHrITLJdLaYdULuwCuiDvUOwI,0000000147,ACTV,AR,AA,1905-01-09,5317 Drew East,,19148,Jacksonville,WI,United States of America,Farone,OjHBqOYLsFSGFOELJrMCPUtN
19690328-215123,CMP,mBRtpjNBECQCRiWtjEutqI,0000000148,ACTV,GS,CCC-,1879-12-31,1971 Belknap East,,06702,Las Vegas,WY,United States of America,Bystrom,GEMhWYPKnGyQmVcIVeA
19690329-053247,CMP,RhUQRxcjdEgKAzNIHpMnLOkaWYvDQqHM,0000000149,ACTV,EI,BB+,1958-01-04,5090 California Boulevard,,H5J 1O8,Beaumont,Saskatchewan,Canada,Dona,xyBLbZEvnFUUuiWcvHMxLwnlRMaNENiezXEwqFKRATDnLcRfSRJzOGJRJCDHUfCDTXBvZKEzQYvBgLbzlLQIcEmD
19690329-085539,CMP,bqxEENiCeuJtRlUKFwhdKteH,0000000150,ACTV,SB,BBB,1967-01-25,24402 Marsh Way,,94247,Ann Arbor,AZ,Canada,Feldhaus,VGrkkCDlKNRnyjx
19690329-163928,CMP,xJLQVuTFshRimMWvovlkhREDPsbyCEbOPAiHlYQoNpMfOnOS,0000000151,ACTV,PH,D,1865-08-02,21532 Carnation Road,,60627,Shreveport,Newfoundland,United States of America,Torris,do OzqHdchEbHp HflpKMZULYLhGYaIDTktOJxNVJBUPeLNQjEYTg
