19670425-083141,CMP,xtCKWBjqUKBQIRxNAFhHNGkothLlKEOJLIDZHCCNWPKwSBnHHcnYM,0000000080,ACTV,CX,BBB,1893-11-23,9078 Nealy Lower,,V5B 1P6,Winston-Salem,Prince Edward Island,United States of America,Redifer,zyhTVZEtgDDoWfDpnRXwBEp zSAhCdUSntKefwHEEFEsHnJuLisfvhdspJVqNCGCXd
19670427-193554,CMP,NcwpwRiDZHlgWrNmoPNAcSUPNCnBBTrUwsORuLDnrmVI,0000000085,ACTV,FL,CCC-,1953-06-22,6477 Hylan Way,,33335,Henderson,NJ,United States of America,Pettus,SyTdpEuRVvfIwTEfzFYePGMLrbAcaXEXKWqojsuKQIyspQakBxUvW YcUJPGBtxRhDFOoHOTGFbcgIdpfWCLtzTL
19670428-073629,CMP,PJfOlXRPMTdOuTIMAy,0000000078,ACTV,IA,B+,1924-09-29,23665 Deerwood Park,,93701,Lansing,SC,United States of America,Mahdi,qV lNRXIIGVtcVKUVyqksPjxSSLXHfHogeVEQmyrBSESJZrlNHDnOiqchumDbvFQpnAiwTedQHLflrAKLTzOBARKLGphmrCLtMvOQSUWUs ozvtFSqubd
19670507-060227,CMP,dTinRyMoODtLpbesN,0000000083,ACTV,RE,BB+,1946-12-07,679 Windsor West,,79109,Waterbury,WY,,Greenstreet,bSaDVJMVSzCvEKyLVKMqyJWZQqjIoktMnrKeDxEIOcvjObkGxGRYjnPYTBaTKEGUsT bEBVB UcxJWsMLagsCUrILUVEzBrGWHGiEEJSHAuqBKbAHLzgnTmZHbUvQj
19670510-222750,CMP,WtLJlcZhUpnUJhcOl,0000000076,ACTV,AT,WdXy,1934-01-25,9499 Rice Avenue,,E7N 1F2,Fort Collins,DE,Canada,Monarca,oDmEGQgxcVU
19670522-205851,CMP,CKqQGzXcNXMPWzzEAqHxSpCdCwJEirgSInSJOMkfzMBleWwhgbxmoVEVYU,0000000081,ACTV,CN,A-,1872-04-21,10136 Meadowlark Drive,Apt. 416,V6Z 1S7,Lexington,SC,United States of America,Leopard,rhEWWgSFfBoRJIxKuAOuvUAzyXClSYuGwGBVESpEkbzZRrtRONaibRvLZmUnKYQCoePMw oJDhdEaSopqadEVRxVKRJHZkGcUNEIRPDpvIpDDnrDooEIZUKtnaTGMHjrgQhsHjrHGHxqxQycsGTEe
19670608-210511,CMP,YGODXTYUYQHKSUzVdmTrHaaZEgiuZLXAwzvjFZMnWXdUSECjfiOJYU,0000000015,ACTV,RL,B,1871-04-17,15176 Purdue East,,36638,Jersey City,WA,United States of America,Launius,aqaCEbWGFxMDRkXNACaxqZjSu cERxcKLZEHBCVNyJIqHHAlGMGVQAKaiUHnCSMRFPwlGHRuZkZJscQlQPzIDWzACODYjsUtIIrSyXQpJjLRZyhbTPwyjmJXfCnQqEpwzXQ
19670612-203923,CMP,GLIMVtVNAknhQACWFLgQRCpuBMaVEHKKYezIFsKKh,0000000079,ACTV,BN,B+,1960-10-16,13503 Wayne West,Apt. 842,85776,Honolulu,RI,Canada,Aufderheide,FoPzEJbTuvOdVQAByRWUVMumQIAXNMKME
19670617-143841,CMP,qKZmxEJdJHmHxmqcMqVLIgrwrTMFGSYepLzRROMkSDC,0000000084,ACTV,CD,CCC,1896-12-20,20826 Bellwood Crescent,,T5B 1Q5,Cincinnati,CT,Canada,Lemoine,GjzlgYAYrBpcP
19670628-220238,CMP,OHzaLyFKQkeISJnxSTeShaOv,0000000077,ACTV,MM,BB-,1860-09-11,23271 Buckroe Park,,43630,Orange,Quebec,United States of America,Harmond,FHTEjdBylDTXSerRgnibiNUFkHPEC RFqgv tXtHhqLVZYdVnMPSHZRLRcubLoZxxQPGVUbGoh fLDpuORYXR WgOFNPsIFIvHfRAVJjetjDWJI
19670629-005142,CMP,EVDrXsEiEnLdzKgVPyHxGfRHFwSXDLmBVPRuIGzcczcxVVXFnGDnNgo,0000000082,ACTV,MP,NlU,1856-09-07,12672 Cliffbrook Street,,90750,Hollywood,CA,United States of America,Smothers,CVEVjeJLGpwxxbTcLWDSGVihpVvYbhIaAyPqdPOlnPrsdXWvJJQypXRESahrmUOPAWHSdTunOrGJTHXgINwJEXTbCOALBADcDMXOxQQoYAySqVMrXhKgBnNActDTGjOmifEEddDANgyhFWONALO
19670630-085926,CMP,rjkmNkyRrYnpSUDcOqIviweufHAQzFKBSXsYPAcKkbMbBVsEUWMNMRKJZK,0000000010,INAC,TI,BBB+,,16547 Danvers Rue,,94489,Palmdale,AL,United States of America,Nelson,DSGKjAatPllQoVYFdO sxtAuqGWHxWCZjjFtsRjzLaZOAV
