20121230-130007,CMP,BjBtiFXqNKCcqdZNGgbycLlWMDFDiJKH,0000001904,ACTV,PR,CC,1987-09-28,2156 Bledsoe Road,,77281,Naperville,MA,Canada,Roberts,MRVJadkFJJKJAMDhvMK lRAGFUyUyNWmGKOck
20121230-233646,CMP,TytdJtKDOAOcWPPRMnJW,0000001899,ACTV,AM,AAA,1965-03-06,2500 Park Hill West,,E7O 1O3,Newport News,HI,United States of America,Kerth,ILxBSPGiFyMdKDXEuvetLRKutZIubEqXMKRunZSMWwHbpTbSIGeVRHDPGAuhlUOFo
20121230-233835,CMP,HnNFEPJiWSsyihnFLjhUAzkLtrVBQcwysf,0000000781,ACTV,BA,BB+,1925-08-21,254 Cartwright Street,,29406,Moreno Valley,HI,United States of America,Vanderlinden,RACpVEefpabAUttsHTnCwdzJaMCgaywedBuLcNjexBqrzTJdEIRyYraREUqHEV
20121231-011305,CMP,iPIfCKWwYEGIHMnxlOgMOKYEBMP,0000001901,ACTV,EI,BB,1970-03-16,6580 Bingham Avenue,,H7G 1S5,Evansville,NM,United States of America,Falsetti,LRIQONKZrvaJAAOmUTobr
20121231-104033,CMP,ZHUOhrnPjwjQrHM,0000001896,ACTV,FL,BXg,1994-05-24,18043 Watts Street,,77028,Chicago,MD,United States of America,Cecchi,JRBhzcvwcLgUrbRnEQkUGHfXKhRTst
20121231-120451,CMP,BLAjJMDkKlToaDgieMXkuwqsKDTEPSnKOrS,0000001903,ACTV,FW,D,1896-12-08,18582 Perimeter Boulevard,,78202,Warwick,Prince Edward Island,United States of America,Angelos,SJgQfLpOKNNFRUyQhHGXpStAtZDSszKcJJfXaJeGOxfznsAYEWGsJbdBGBfcpNDLRLJXQUPhkSTfnyrTvAACIhkqzNbUHG YrYaqGObnQviBMFzRKEOK UrfG UOwte
20121231-121819,CMP,ajTbNlwWAroNEPuDPxOJxqPPklshgnYsXCEXpjIOqaGTRKRyZakvBbuI,0000001898,ACTV,AT,BBB-,1968-02-16,23688 Encore Drive,,94366,Dallas,MA,Canada,Kreamer,lokoFdLHaxXdUjJDNZKTHhMDMGURQloeebxmeJbOPpTdTHgvGxECPEArFSMMWRrjxSzEJDxVNXvxjMMPwqSbmHFBCBwBgQKxKnNjkCIuwpy ULJHHLPoDVfhHnZAZAaXxAQjT byrFzG
20121231-133840,CMP,FJmmVmDFidslrPmMVXJbvOUJpPGIWNsDHJngqlvfQFXrwBDeeDlzQWhdBG,0000001905,ACTV,PH,AA,1989-10-26,7615 Warren Upper,,T5B 1P4,Charlotte,AZ,Canada,Roehrenbeck,EmITZwCHBOcSEiSQLpHuyQrxVgTCEAMDwLpXLShDNZvETtGsCNoeFgDpkVzJVeGHSeXULCnfuUcGVXPlpVzsJuOPLFNgUZJoZWdopRSKOXqBBvJWNkJ
20121231-140904,CMP,eKlxkrvrgbMQLgjFjsByoXzEgyxWzHJh,0000001900,ACTV,SC,BBB+,1968-09-04,15258 Winter Oaks Boulevard,,46221,Pueblo,Newfoundland,United States of America,Bartko,nMLGx ClixGVXHIGUOHCeaGLKgTdClUavGNOUhoBuERfAnA JULaJpmFLUNxYHQQtLXgI
20121231-185747,CMP,BSyEXoGLJUVuEPGkDYcDEHfyTqmVvWBdQUtUbuxlyCHjDSMlOz,0000000444,INAC,CV,BB+,1870-10-04,3020 Fox Rue,,90008,Amarillo,DE,United States of America,Sally,JcZUTVzLlolJSttjGgPHUbedoJYKasAqdTgYsWwIbpTMBPCYClVMACpERUaN zRMa djVkQEQZYFgnAtLgVFGDDNoOp
20121231-195329,CMP,oHXFrBzTRDVNyqhDuDrDldjiyaNcbKzCkKHukEOX,0000001902,ACTV,RE,AA,1981-06-27,14518 Westheimer Avenue,,T5D 1T1,Jackson,CT,United States of America,Lombardi,DEOLwEXc ANTeTHsXnG PJIByhQyXDyDoHLpSK FZXEtDVLqwwLIEJYswHVJBWxAXQ kSaDkbMegIMyaaYAPUPL MKAQaBxKshPhYpVNnBX LCPnAECAJIOETsLHXyMurmZTnTCbOQdYU
20121231-220638,CMP,kEkEjXNPhDdNZINJjmnClKFTggKUsFAKbYJ,0000001897,ACTV,MS,CCC+,1935-12-11,13222 Glen Loch Road,,E7O 1O2,Abilene,RI,United States of America,Fusch,XSkmHVHxlIjIALAUBERscdMB UurJMErfc
