19720623-193038,CMP,KJhQqvrlpQBidNaiKSbeNNikTGFNyqfAokZNpWiMnQ,0000000099,ACTV,FR,BBB,1959-03-15,21782 Miller South,,95223,Madison,TX,United States of America,Chu,FA qXIrpBPVAyvTYUGsXYIZqTaaneGxYaTLmW moOLfAIsMKHpQiABXEkKvRDVbPHBQMbMyupWUCTvALvSwESBQLXHhzVIbptOLQvIJq
19720624-081637,CMP,OqAIeBICyTDaCjYBokKBWwGIbTbHykBtzpJVuZzfWHKRHbYByNSoGLc,0000000279,ACTV,IP,CCC-,,11227 Woodcrest Lower,Apt. 90,V6I 1Q8,Toronto,AR,United States of America,Lavell,zCpyiptxFwUCaSPXaoRylgBxcjhHCYOBCBVkERYKfVzqOJasKMucGbrCNfzDdVFVCGmJNPyIDyyAEUAkuFFbGUWXxdSiTNYyGhPEFvILQKCoAjQsKOWLRlBkDhmdZPsVMHUpoWf
19720625-012451,CMP,KxqdRJELXtJQoGpgGbFDgGWOHRTXJHg,0000000284,ACTV,MD,AA-,1917-09-25,12223 Alabama Lane,Apt. 25,61604,Pittsburgh,CT,United States of America,Congleton,FVhDJLEgkEIr
19720625-121439,CMP,woZXzDcbdAeOUrcpqMMIcCCSFSAEOqoSqMN,0000000277,ACTV,CA,BB+,1915-07-18,21174 Jefferson Way,,85062,Coral Springs,NE,United States of America,Ball,ccAHeMFHRdWxtYykIwXOPUamPLKN
19720625-182211,CMP,FoiDMNiXljBZZGweXAmRCDAhyKWYoHvrqIuKiGTUpRJxfQVZpYCLhDclRIv,0000000282,ACTV,PR,A-,1880-07-06,8899 Starling Lane,,35255,Lewiston,Saskatchewan,United States of America,Heter,juFLPvAygLdWwPDRPylYdb MKlRUrOMsNyXVClFYJRdBlfNUPtMXssBUUeKwcIRxbRroGJtVYAGZJszgDxSRItIvNtDxEOzRIEnNKDA
19720626-164301,CMP,YlpZAosXzsuvTxMJSRMUB,0000000087,INAC,NG,A-,1932-04-08,10369 Gemini Way,,94238,Dover,IN,Canada,Coral,lMmFMJMNkHjMlhqUQecCTUnMmTtfcMBIsTyICdyGPAhfIv
19720627-225315,CMP,fKTWdFNbJFpYzsgNOKBALRptDJzAgeGSPxIBaUpK,0000000280,ACTV,FF,BBB,1952-03-12,12695 Westmere Crescent,,94162,Vancouver,GA,,Funck,sGgLOlDoYtKxMbTqkZnXXxLix
19720628-170911,CMP,IVBxurMKnJbFCkiInnTeIC,0000000285,ACTV,FR,CC,1888-05-15,8774 Crestline Avenue,,31904,Fontana,MO,United States of America,Musumeci,CvBRCGjEaIpwuRFVKwEQBvyrBgQVsJnIAUoUmrDQpJHOhOFZrankSRNB zCQGaX
19720629-074742,CMP,eJrkPOGbPloJTlEKCMUyNKBpvGpCjXvROvjLfKTOvLUUcv,0000000278,ACTV,PR,B+,1916-08-22,3124 Congress Park,,06613,Great Falls,DC,United States of America,Gunnett,AGvTpQVIDOFdxCYaFORbnOPNsDKtwWitnBSAObtBjXMDZYuRetexcEzGRWmqlwvKiLotgETiECMAhDUHJmACIto qkQ
19720630-025251,CMP,TGCJKTzuEdhxAvEJ,0000000283,ACTV,MP,AAA,1912-01-01,13914 Fairmount Lower,,72289,Little Rock,NH,United States of America,Savarese,UYtZAuGlQMbeluyIwYOaHHbUppahawx USlmUSMljBURIUOPHT aUzrjPHKAHQcihqgsP
19720630-061140,CMP,imdafqhUOHJJweSjJLCsJtrIwQTHOvwNcouZrYzKuEbA,0000000276,ACTV,MP,BBB+,1912-12-05,20234 Elmendorf Court,,80070,Laredo,NJ,United States of America,Gouty,C ER aO AhRBzsDlMcdyOkbPvBIAhIFOGMy
19720630-100712,CMP,nUdcNsETZCLxuPVMKh,0000000281,ACTV,PR,AAA,1901-04-18,12729 Glen Ivy Rue,,21708,Detroit,Manitoba,United States of America,Cherep,VlUeAUGKGvAKSWVkkOTKhbirIBLyLyMTgMMEswIACwpuTCn
