19770625-194648,CMP,rpRyBnAoICxXyRTjaPD,0000000476,ACTV,RB,EyR,1946-05-06,18351 Cooper Road,,77296,Albuquerque,TN,United States of America,Cormack,PdFiUUnaQDOMcWVddSeFyEqrDJAhUGbDdVpMHyCRUwsHLTQDVXzXhyABhskednhfBVHFNP DkWWObQUgFawMvEiPwIKTDHJykJyENVHrWQeFnBzMLOTcAP fwJORirgFNINMOKnGWgjV
19770626-055744,CMP,gDqcCBxupXLOeBnjyoDuJKKpXXazMTBejzLaoxVkzpfVHbeQYNnEL,0000000011,INAC,WU,AA+,1967-07-29,22376 Burton Upper,,10211,Lowell,New Brunswick,Canada,Mckerchie,jruKsEtvzWUoVEbZQDmUboPYXQIFGSVdnRCBrcRACGbiGZRINHI IBLfMvShSpFJouITJcuQGbSmKLdaxfqPVWaIQViRHSMbFJoJGVPpVqZTJdqjZOIpQvcuCo
19770627-063855,CMP,PVUBlTHiwNjfViahNMSzDDICOPCcemIISPJPpQmntfBzsYFgObrXHpEFmC,0000000397,ACTV,FL,CCC-,1941-03-13,4482 Eden Avenue,Apt. 646,90263,Lowell,IA,United States of America,Cheeseman,IamDUWtLBzmnLWcUEnLMOGPOWaQjrDrLbHnPCFUFVqPdqQaHILcPNZJdaYAkrGBqAXHbRJgoeNCCHZhobkVVHSNKbWmuenUJZBthJRmsmBSliwKeLwQQQwKdulrkjQHnDExpPBXBWpxUMIzUMY
19770627-185124,CMP,CeuTgiXJYwLxNBKnYcVFP,0000000485,ACTV,PG,B,1859-11-25,18859 Sun Tree East,Apt. 178,55130,Ottawa,RI,United States of America,Lavell,FxXQeTcBjIvgSwJUPyDICj
19770628-044048,CMP,aEiowNJJnAxethNkwUXQBnvOZLNQPWCwSSvBHtBNpIDunIvCwQSuIupRRz,0000000484,ACTV,RA,CCC-,1957-08-10,7490 Curtis Crescent,,90166,St. Louis,AZ,Canada,Purol,JQRxPWCylapARGLMfFrSDKedeJBphCbUUReWNoxBHrEpIsuSBnPThLqGHMNeIhmdeHag Yxd
19770628-132157,CMP,vtBLLQCLOvHGGGuIRXQacWQSGIVYpcFfNuAaKoqsUvqw,0000000483,ACTV,ST,A,1864-11-15,20716 Knowles Drive,,93327,Washington,HI,United States of America,Fritsch,dqwXfOqZHCKaNuBQjQPxMhmJSRsFrOUCZyAgVAWUcGPUHIHFOHuSpuppWwZAGlQNGNHwWMaHPFBApHxyvOcjVPXDJVcxyiDDDuoDLtCZFOBqDOaVMLxVLQfobOTT
19770629-000259,CMP,pUOIGULaZZQCOQqaveHrxghBKgGiVRVatNlNQ,0000000482,ACTV,BD,B,1869-03-31,2929 Bryant Irvin Road,,13209,Allentown,New Brunswick,United States of America,Fugitt,LLwYBEba ZGllDpMhAxShFCoqi
19770629-135930,CMP,dzNGUQFyKLrYNLtNAEWtLvcWLaDDBEmGgWBrkFXHjqyXMvcUisLY,0000000481,ACTV,PG,CCC-,1960-03-18,12543 Edgewood Avenue,,80905,Honolulu,TN,United States of America,Shuter,VSmbeiq NCQDGTrqDAKHMPgDAvSJsVRgmHqm CmNYjNOhQATTXlNTUDFEuLWCUEjGms iYVgFHmCeOuqvbWBkdFBTyEECygqKxVAoCLXrFCTQtPeYNLCOpIvTDjAS
19770629-150455,CMP,cRDTyWCuTZTRxXCApmHGnQVOBbAndHTDiHP,0000000480,ACTV,BA,BBB-,1892-01-12,3375 Sakowitz Lane,,93850,Long Beach,CA,Canada,Coburn,oanHPXwiYJPRKGpaOyjKVzsGGVWLhPUNSEPiCzCtIGfCaHRxEsFEvaNCKrKHPiDhESPydRcQADPIMKefDEDlMytVZxKHQhKJeVAwyHyJkyrPpJRlxIGFcMBgddooIgOUeM OPmo
19770630-055548,CMP,OcLffZIviQbRafJgiPtAMeWHLXxAWRlNtVRASeyhXwayf,0000000479,ACTV,CT,AA+,1861-07-01,210 Charthouse South,,32830,Salt Lake City,AZ,,Tanious,GDBZpvYOjvwLF
19770630-113848,CMP,xgeRncQSxxFByUTJuppZbLChgOvBvryXvEFVdMXDJEOEIlzfGfDIGiWFyIQ,0000000478,ACTV,PH,BBB,1946-09-13,24422 Bellflower Street,,T5C 1W5,Quebec,RI,United States of America,Baldauf,rPrcaDkerxzIDZuwDjMDOoeHxLyNjDBOGUeiUxPJzlKiWtWFN
19770630-213213,CMP,RUtEGTjOGJekANVyidbEcwjCIscmlNDUFUFFrWSFKHHgjwWDjrzrIXaRNMjh,0000000477,ACTV,GR,Zd,1865-06-29,18601 Furth Boulevard,,85224,Inglewood,NE,Canada,Hartle,LCZViHFiSAzaOZEbHubWdvQRQjZYqSNmLMDdsrjPDIcoIFys
