20080929-022659,SEC,PREF_B,ACTV,jpieqrGHzUCFuJTZVmHMKwRkHQJ gFPbGKMRNjcSodJmgoeUJEjVMzDkhgZNZfEoQIqYhF,AMEX,266287846,1861-12-26,1996-10-30,1.27,0000000225
20080929-034643,SEC,PREF_A,ACTV,MlvSWMCgKhheelYxVDHRAQuRDFPXjdOFlZGSgLcW,PCX,235058163,1864-11-05,1937-12-24,2.30,0000000328
20080929-062226,SEC,COMMON,ACTV,JesNcQUBuGDSucnckECfOpqVPVUeelukVk tuhByLRvpqONAPviMGRXFQYJLAzP,NYSE,991735837,2002-11-20,1904-10-24,1.92,0000000299
20080929-074532,SEC,PREF_A,ACTV,VfFVgarOfoFrTCTFeGUWOhDCLeSxuyTIwkdarWcKmJmPNdKAEAmKlXKNtxjAJYdv,PCX,284177847,1966-09-12,1903-10-22,0.31,0000000106
20080929-101813,SEC,COMMON,ACTV,AcLxjaLBKQBqCPAMDPCEEDqzoTqDtFfSRPPlQhm,NASDAQ,437993511,1933-06-13,1874-09-03,2.45,mnuPbQINHRsGaaLgAKSIrIZlLOnjMNQiocBrVAUaL
20080929-111042,SEC,PREF_C,ACTV,fnHkMTUNQBbyOKG aDBL,PCX,402634848,1959-07-11,1953-12-01,2.57,0000000713
20080929-161635,SEC,PREF_C,ACTV,EmZPKELhrCfHQAQDBaUtksNFEdvTdHWRTQ,AMEX,739740676,1982-12-06,1968-03-11,2.85,0000001251
20080929-164923,SEC,PREF_B,ACTV,EXdQlEAzLILKFuTPtruZoArYEMgBFsbraNoGxiF,NASDAQ,292257670,1987-04-20,1935-09-01,1.58,0000001049
20080929-190449,SEC,COMMON,ACTV,eEWZcLDMNMqV PL qOplI,PCX,293325592,1880-07-27,1944-12-05,2.88,0000001575
20080929-202253,SEC,COMMON,ACTV,YTdCApdjmtEAOudRCscUESDJzxQSOrvLZcXNPCRAV,NYSE,410479390,1928-09-02,2006-12-30,0.32,0000000955
20080929-205418,SEC,COMMON,ACTV,DpUOGLBhppOubuHGHrGuseVFuFKQB,PCX,336932203,1910-02-03,1959-02-27,1.33,PMxrpPAnXPHDSTHsWMEDADIdlCPGiaiNlasgKOGMTzMetG
20080929-210809,SEC,COMMON,INAC,zawWldpFPIUOQOISGfXcRHVmSySumTXABCSnSTpWFtTfDHsbjKa,PCX,221009631,1888-01-12,1970-12-07,1.40,HCyVIHyFodPADbGORMCBjByxRTESfBNDTPBZrsTBUACleKEVFj
20080929-232231,SEC,COMMON,ACTV,bsIybFUsPXwqJRSLFGCEuiGjJqVReuiJDLXUPHpKTPGKtvKB,NYSE,57103819,1875-01-03,1887-06-20,1.55,0000000347
20080930-055020,SEC,COMMON,ACTV,Zp SyNBivUYMkecKHjCCbJcBPzB vIECHsfhmmUaMDiBMSCCiWiGM,AMEX,313898233,1948-04-23,1933-08-31,0.36,QutdjdYQdwzcGAcPPziNF
20080930-083021,SEC,COMMON,ACTV,AbeMCrDtrhsXdrYNDUIBbjq JSuZSnEJOdHOcE,NYSE,415079177,1991-09-18,1900-02-02,1.93,DbbglVPcPjiPaXh
20080930-135235,SEC,COMMON,ACTV,aTVOKWYmVLfrjIziXxCHWTSmeIDVHBjbTyzQnmuCeViNQBp,NYSE,919749297,1916-02-26,1906-02-22,2.77,0000000806
20080930-184637,SEC,COMMON,ACTV,HlXlwcSHxhcCY vLzHgbMTQnVycWdJFSPvSuGJMKKPUOxnJyUEHVCwRrhUAR tQDgP,PCX,877021284,1998-10-27,2005-07-27,0.22,0000000546
20080930-205427,SEC,COMMON,ACTV,lQiVVOScFgJSVTVTVwXRXSjCCWDMJvlNqNElVPwQA ZPkTOeNaGijFmnMwUAeRtW,AMEX,915953988,1909-10-22,1945-07-24,1.18,PrGDArAoAGVwNgUudUEdEzHGypmaJSgDLZrsBPPDhUMONE
20080930-235958,SEC,PREF_A,ACTV,XaJSIaLrtFZjwRUxDS,NASDAQ,405422755,1965-12-27,1856-08-25,0.93,0000001636
