2016-04-09T17:28:20,336,13240,2,14812,
2014-02-23T19:41:37,4231,10032,0,1154,pNrmVBDFZIDSaeeTtrQGDPJK K XBpnGLdSgPNVG
2013-12-07T07:32:53,971,9709,2,3047,FUiQvEDbvcWyCKRNDAvhaaGZJMnAtRyMsL
2009-02-01T15:25:20,544,2398,2,8133,kyTONUGJDHrjFmKQCHVTHsZppAEQsJ
2014-04-23T02:18:08,1046,10273,2,9746,YPGnJpewlRGPbtkLSaUIEL TsBpADmTQNVcAIUciSRdOwMEblD
2008-04-24T06:36:18,236,1234,1,17592,ubrBoAJhr NVcTEJEZkHxZDGZVsogljcClyNL SUNgCgwLY
2014-02-14T15:36:03,3912,9992,1,17125,
2009-09-16T18:09:03,1166,3338,2,22272,
2010-02-14T15:23:35,1617,3963,0,23189,iHRvwUJLWmqCWxJQpBlppMgAQRNJWLtilLrMOeFUVvfBAqmouL
2009-12-27T23:53:28,1466,3762,1,12663,uiRMwniNlgL rhlpbaHndKksIDNJPOFPmotYQaOa
2014-02-24T13:44:21,269,10033,1,15211,yEMZLQIHVNtwkyEvDcBBRysRSIRLpy
2007-09-12T19:46:04,114,304,1,1427,JaSONRwOUHVHWYKKSDuCcTRVhFHSgstblLW
2010-07-17T18:21:32,713,4594,1,16644,yEaANRSYFkD GTChTMtVPJSIKXNcDzZflOmDSVHFeI
2013-09-23T23:51:43,2882,9399,1,24151,PBsdIdGoQqsJOKWmxJHwGIgYK EWsOrKGVMFMrO
2014-02-05T17:08:50,2141,9957,0,2389,dTGBqHWNeRVLAKUwbQamZCKICUGQPDlxV
2008-07-12T02:38:52,743,1556,2,21805,ElsCkkCpvQcmYiabEgikyCUDKEMbNUdLOqwaGQJ
2016-07-24T01:24:13,1507,13667,1,1614,ZfKTGjZISPHXpLduCXMUvBqJ EoAH ZgYOKxSKCMcKAWdoeu
2016-06-04T04:46:53,1200,13462,1,11629,CJXHzKJewEPPHdwTGgBoIEDlcErVacOjEStoBdFdCTbGVVYBc
2014-08-02T08:02:44,3453,10689,1,10381,LpSiJQJjyOX xMyukumlLgiRsDCoGn LIHIXEhsMJTl
2016-09-29T16:33:44,5132,13948,2,6056,DKeJzXDwAYTaWr KRXOIDBRYPRXtLdFbLzNDMwrVL
2010-10-28T14:38:10,161,5019,1,20645,gjBMsXWGdNJOJkpTPYCFCpJCvGktCWNfQVJ
2013-09-22T09:16:43,2579,9392,2,15767,QF vhzpHstLBBUuFOKLUlhtVqfqNVNmcWsvIiIlIVefV
2012-10-12T11:54:59,1951,7969,1,3599,
2009-06-26T04:55:24,1363,2997,1,23080,EVPGdhmJOkqcPnCKZjOJoNJgENBNjKyHrtQT SW vBww
2013-11-03T01:36:28,1356,9564,2,12315,RYpQOsvDkeZIcoAIUPMGFKvNmqAJbRTzh
2008-08-16T06:11:16,579,1702,1,11544,SFpbaw qpTDWAOstxDcaBrbMGHCOSnbpScEbJCctksvEiWbMo
2008-04-28T05:09:51,104,1247,1,3920,ZVZEICGBtJtDdwUNwWdBtuuyUrfNeOwldq
2008-09-08T18:45:21,193,1796,1,5141,bBmJVBKCJx oKTqDrEKo AHIwYWaieaXQAPvsEpDm
2013-05-11T04:20:21,3976,8840,2,10487,vAMwaOjxNJhwIQAQqVfxXAdSqHnIvbEfIdcKxPxMXUTgZHGwnB
2017-02-19T22:17:21,6301,14539,1,6420,BKSyUOKsVUDXiogGMwFVTOIHieztTNRaTaQpUuSNaacGH
2017-03-08T19:49:04,7170,14609,1,20901,WwcqpRHAYFLHZuLFvgCdiKFAaRDumJRKCSzyVDTkhYC C
2017-02-04T15:36:44,6349,14475,1,18769,bkthqDMrTIA FYGypyaLEOmJDpDFtlUIPYyWnpuGukdU
2012-05-26T22:22:10,3170,7400,2,13509,eBZCBQOLEVWINGHvPdRnodYNGKSgpwOEyaDDQC
2015-03-09T16:49:35,3025,11596,1,14242,kMhgtehkAPqkAfcLjjdKhaCLbtIxftSH
